sku,name,description,brand,price,weight
807093,Luus 807093 600mm In-Fill Benches,600mm wide BCH/CRO series bench and shelf,Luus,900,fgdh
807091,Luus 807091 300mm In-Fill Benches,300mm wide BCH/CRO series bench and shelf,,792,dfgh
